R556371,R869021
R950511,R779901
R463469,R992693
R388969,R893696
R929177,R329860
R246242,R850142
R233648,R131004
R248017,R204362
R495750,R687676
R594315,R240698
R390804,R647588
R670470,R278879
R414224,R369739
R392989,R252849
R312932,R962638
R566811,R723844
R846066,R469253
R900347,R798093
R291783,R224112
R264161,R854216
R555943,R462829
R785468,R560053
R255312,R766129
R683688,R355195
R769553,R413241
R967397,R142270
R272784,R394003
R346299,R102310
R246921,R772690
R573494,R954479
R511887,R272119
R791986,R771944
R844091,R539465
R535400,R301668
R598724,R176998
R233047,R656169
R150469,R497419
R663651,R500969
R993338,R890716
R876845,R412347
R743397,R554603
R556947,R820801
R836672,R856558
R341907,R674877
R470223,R130692
R366836,R709331
R353976,R445674
R308995,R244987
R204653,R933149
R809858,R374479
R756408,R826297
R463458,R169716
R464913,R718640
R832416,R604366
R999404,R411135
R918667,R897463
R260167,R686687
R101236,R811269
R517107,R198829
R744448,R264831
R199010,R982085
R748469,R786211
R274955,R971025
R561459,R239737
R161276,R405955
R796776,R907634
R321088,R674159
R881158,R794442
R691641,R290856
R665526,R598372
R435254,R143925
R830516,R310008
R806313,R444694
R760534,R573339
R299591,R594660
R836756,R567818
R979534,R930262
R701118,R172672
R389957,R443558
R584760,R238399
R779983,R977323
R409134,R661956
R744490,R635045
R305146,R418846
R476398,R265414
R184417,R270245
R481913,R740514
R763515,R496460
R507699,R474489
R898905,R503374
R270489,R706667
R404847,R757454
R363537,R568986
R162131,R145406
R624852,R779773
R642353,R292792
R762990,R848603
R955842,R841327
R115211,R873753
R528745,R935179
R297459,R429692
R894601,R186524
R920057,R424736
R147332,R531134
R834899,R436874
R144380,R613375
R135286,R387406
R133382,R661939
R535739,R222891
R576351,R209328
R154393,R348489
R935227,R293589
R815649,R914532
R551081,R700057
R337076,R811384
R168148,R781196
R202063,R916182
R584492,R169068
R712466,R501564
R519331,R401670
R191875,R797819
R262703,R276395
R400015,R897564
R584142,R805858
R933011,R435856
R489816,R503587
R162974,R694717
R856106,R237328
R286309,R907327
R994065,R615652
R367401,R516567
R835187,R400396
R986210,R441105
R242346,R460225
R853587,R625879
R509018,R265477
R969250,R459682
R521250,R254569
R548979,R308502
R330815,R304749
R671305,R556562
R460865,R387942
R369508,R294330
R523836,R551126
R434617,R682024
R853584,R752148
R356285,R759029
R895987,R325072
R469466,R433803
R943755,R649834
R462011,R555481
R162434,R887001
R803293,R145761
R368666,R469016
R973364,R764404
R545700,R544452
R153349,R916469
R942205,R149100
R376983,R876971
R461998,R908503
R725695,R654270
R607931,R985415
R479114,R479337
R855234,R269451
R499680,R890983
R892022,R837415
R416660,R280582
R507728,R511835
R234478,R202910
R394389,R649299
R826429,R299389
R472263,R406680
R569139,R673965
R342376,R668953
R957080,R723213
R899531,R739300
R851334,R746810
R375945,R773532
R790922,R375933
R295958,R229709
R587508,R613716
R617159,R176016
R912293,R548104
R175638,R695558
R112981,R431622
R227810,R912573
R468528,R240446
R326482,R537117
R202124,R507069
R799724,R474519
R761324,R356582
R181172,R253809
R277444,R794185
R691183,R338150
R166706,R378252
R305999,R503443
R447132,R213800
R994625,R450767
R750809,R423548
R131799,R575354
R161527,R605700
R566848,R542568
R714830,R201004
R387214,R102051
R126627,R188809
R325383,R268996
R517740,R802603
R648131,R402504
R551428,R889359
R420110,R168452
R515864,R963216
R270578,R886455
R786109,R796186
R898947,R728963
R515625,R205558
R715282,R259058
R889468,R743526
R520919,R886610
R693461,R483348
R167597,R645998
R436028,R185919
R497449,R976417
R794905,R120717
R394934,R935091
R867510,R491272
R159641,R516463
R401332,R950988
R780815,R646635
R637902,R933317
R219974,R939559
R735886,R818245
R137727,R394728
R117379,R527687
R517103,R574897
R424404,R959732
R454382,R896546
R919455,R938211
R529786,R931585
R212318,R631931
R915181,R765048
R298949,R658471
R607604,R776020
R977356,R296584
R826406,R611509
R758006,R635631
R488860,R570746
R237861,R909932
R584149,R443848
R404456,R636032
R600331,R811682
R645245,R822056
R381985,R563020
R333958,R525194
R802170,R200913
R108741,R861607
R798373,R171758
R374843,R570380
R144928,R133847
R626448,R103927
R207318,R918365
R726338,R274571
R761736,R141376
R753484,R177467
R331924,R590107
R151826,R916118
R176906,R843312
R323333,R374266
R926080,R129402
R452491,R595070
R688608,R351637
R848402,R185430
R721317,R401419
R780971,R782593
R381221,R684978
R774766,R311879
R796430,R418188
R537985,R687774
R225349,R882141
R163495,R737263
R671961,R257194
R473493,R865191
R689494,R738236
R420238,R296023
R903389,R525793
R400729,R107517
R361320,R510344
R845766,R531078
R838459,R725978
R672527,R393910
R434556,R563555
R657028,R937226
R408979,R698400
R239200,R398868
R937743,R644316
R222262,R527147
R894805,R726526
R463108,R443477
R315360,R403042
R301055,R628488
R262347,R918073
R500577,R738347
R997358,R823652
R112945,R179651
R882161,R962470
R291027,R779079
R350307,R929723
R150675,R385194
R734299,R386532
R369245,R565276
R472198,R870500
R261841,R222507
R378463,R345921
R336851,R266287
R145360,R833919
R590581,R871470
R978619,R257236
R644719,R681781
R276782,R491239
R808666,R347322
R608152,R264981
R447542,R871635
R462381,R479312
R693263,R209174
R896032,R802577
R580545,R814008
R910198,R210426
R706438,R670652
R566021,R300430
R975762,R137753
R417150,R362888
R864844,R118786
R395481,R595551
R783245,R305286
R173615,R476219
R199661,R182120
R968461,R388918
R160584,R174518
R429200,R660859
R437965,R919739
R967418,R320325
R598360,R741813
R542333,R529525
R649508,R440994
R592623,R666272
R471390,R850106
R931431,R792579
R412826,R698807
R967338,R397060
R861420,R650942
R312995,R655422
R512628,R654084
R398534,R537171
R406338,R486179
R372572,R261448
R600685,R632489
R983348,R876612
R807627,R172166
R463834,R979314
R789960,R439226
R132873,R816193
R253015,R278606
R939808,R214853
R758305,R791055
R454931,R503047
R356035,R738681
R216566,R175540
R323631,R706366
R212109,R312523
R562329,R163320
R606381,R530394
R890107,R393615
R492383,R534524
R399686,R291546
R842823,R927770
R655921,R854046
R635572,R276217
R589328,R691166
R850329,R365477
R255334,R636991
R264607,R112032
R546342,R231599
R293980,R643649
R382445,R787405
R345591,R438040
R551612,R486244
R330884,R323046
R960063,R566574
R133407,R708301
R742595,R456229
R365390,R594537
R835674,R399323
R707650,R371000
R748702,R476754
R121797,R573745
R953697,R698406
R616157,R565239
R357366,R910237
R909848,R913976
R688701,R307632
R481450,R529527
R663854,R479101
R658484,R541657
R848434,R910904
R701071,R342125
R231191,R444215
R923487,R613535
R292760,R606986
R917206,R521109
R990878,R855353
R961281,R113289
R104946,R668344
R897072,R771337
R866993,R412201
R901657,R835812
R537353,R530571
R762494,R484894
R742901,R211603
R256738,R834155
R259775,R188107
R546437,R682167
R212082,R709793
R727768,R523579
R156860,R676797
R195558,R952788
R243857,R895750
R675110,R431782
R523175,R110756
R488521,R917018
R175788,R555036
R768270,R664153
R114727,R470984
R703962,R953948
R521270,R324993
R991248,R274160
R496753,R315527
R977896,R619097
R343152,R267201
R606490,R803939
R954044,R125506
R275676,R776449
R194709,R625308
R342217,R770752
R270687,R277136
R101576,R570102
R885155,R886416
R229811,R746411
R559140,R732068
R182960,R118281
R433751,R756690
R947755,R435808
R692557,R521968
R816626,R542266
R464767,R416782
R228079,R213460
R920290,R738395
R236106,R938497
R486847,R626679
R520497,R786560
R961080,R593250
R643875,R311516
R568669,R363705
R970578,R929365
R191279,R774882
R978356,R398060
R732312,R298512
R268662,R677749
R123904,R914398
R563661,R127541
R205194,R113401
R622533,R584678
R548514,R654670
R530206,R360246
R689487,R910945
R912779,R727372
R352527,R945782
R662995,R623744
R802210,R639903
R734265,R123532
R256940,R893731
R754352,R987167
R398308,R120063
R440978,R813190
R394797,R872338
R625168,R377221
R480333,R885098
R128552,R938560
R571957,R116057
R564672,R635910
R870603,R320099
R939627,R468823
R415247,R205425
R115435,R224279
R435005,R633142
R560509,R622374
R490737,R182595
R645829,R585654
R480724,R830490
R415158,R895335
R644023,R799866
R606138,R127238
R982592,R855543
R410197,R725694
R931457,R578086
R638620,R600098
R291332,R872038
R723761,R579435
R929606,R564164
R949466,R740361
R213562,R593671
R627623,R674803
R390395,R347404
R639449,R332283
R317474,R828933
R965210,R359965
R292961,R151796
R146251,R344732
R292777,R227070
R876711,R874348
R843211,R585653
R558695,R303021
R568296,R458405
R340805,R754196
R322802,R961520
R678881,R240551
R546805,R511421
R600981,R953889
R323998,R108579
R230811,R141280
R763768,R115941
R588841,R439425
R221193,R615095
R496375,R272925
R445330,R217089
R888604,R603126
R268485,R951388
R812946,R816528
R520425,R844199
R909234,R133162
R403345,R597053
R808263,R738200
R947617,R138894
R335430,R737416
R499688,R879989
R897888,R940654
R335682,R499727
R198676,R543660
R271123,R926967
R256606,R990731
R294981,R980425
R220823,R328476
R339836,R986614
R399025,R471946
R804395,R452408
R463459,R972665
R949166,R823357
R297975,R433232
R128592,R729407
R370270,R966762
R862056,R727494
R598898,R651753
R284679,R691549
R238542,R933436
R215286,R702857
R709713,R169724
R937533,R519185
R725530,R324943
R591847,R419627
R925515,R115695
R406216,R527093
R650655,R667995
R666491,R738377
R996023,R549830
R468578,R141881
R656772,R411078
R844876,R968410
R905666,R221930
R521842,R298008
R491738,R488911
R617943,R771484
R160215,R838986
R349543,R364173
R504709,R394041
R248400,R726534
R962901,R472682
R875749,R782150
R998632,R369085
R781189,R329220
R540830,R919282
R876757,R591288
R354030,R827308
R570949,R239732
R673677,R663396
R818682,R470602
R928923,R866438
R993801,R341505
R510250,R109933
R754847,R637673
R195257,R733488
R957722,R374662
R328739,R652019
R776490,R995720
R794294,R872454
R447063,R929739
R840259,R397434
R412032,R529868
R770558,R304664
R202416,R207650
R330382,R573260
R150158,R375007
R845053,R330414
R335307,R384635
R907394,R584707
R132004,R340652
R958884,R862759
R314996,R563154
R995280,R245197
R250477,R274356
R907813,R116182
R807388,R934950
R649686,R124505
R764148,R486332
R771222,R548421
R798850,R446634
R477221,R103572
R709415,R611494
R569084,R243044
R697421,R539475
R424505,R722432
R373548,R779052
R351010,R526648
R242268,R829993
R334113,R243895
R815880,R297541
R212633,R338909
R620428,R802331
R344141,R624733
R554356,R987551
R536102,R500118
R430303,R580412
R923418,R580407
R328930,R711584
R846641,R499587
R429684,R499023
R611943,R903765
R779027,R100911
R164812,R949146
R200642,R663501
R465771,R967104
R661215,R976098
R149589,R294384
R517854,R580799
R521788,R688539
R456676,R902178
R144352,R225315
R810227,R382574
R704132,R902764
R526760,R224386
R749792,R249116
R154379,R770162
R504663,R330843
R548281,R312208
R977077,R754368
R416007,R161869
R905484,R593961
R344796,R745014
R542993,R480140
R441418,R832810
R517056,R812233
R169605,R783171
R413389,R551939
R731222,R875188
R916078,R810832
R244042,R185095
R253566,R324916
R595818,R508780
R822409,R617748
R980226,R674821
R105798,R609839
R582018,R234573
R553237,R701619
R462492,R195603
R223235,R747521
R487076,R274976
R281041,R588982
R516952,R247957
R789751,R326696
R969629,R394196
R577857,R906574
R175423,R332386
R800084,R694509
R430262,R964672
R601679,R118034
R159783,R389050
R501237,R214515
R496618,R272892
R574654,R691553
R184163,R287171
R227018,R881659
R181872,R929524
R415688,R175227
R541090,R775299
R511039,R436738
R472607,R530396
R299648,R894431
R934212,R417960
R916247,R528743
R136992,R668043
R567637,R743964
R907150,R552961
R603626,R390773
R220561,R704029
R781896,R184495
R801090,R341770
R610701,R444168
R116745,R954635
R452529,R587591
R220096,R502988
R100963,R138849
R289659,R204996
R118526,R760624
R458861,R305143
R288741,R411437
R694611,R712565
R532725,R280450
R696374,R541368
R816738,R998826
R243538,R494526
R979508,R767901
R881654,R413428
R979354,R780409
R854805,R246246
R754065,R956269
R458298,R630069
R609079,R364283
R508414,R616865
R672931,R149566
R739904,R898638
R332673,R739332
R769632,R565974
R981917,R164390
R345213,R206222
R987332,R465373
R995816,R408700
R241224,R553671
R583008,R525292
R682981,R115293
R921349,R743329
R746493,R732517
R898103,R153436
R648336,R867497
R124418,R739321
R331684,R618649
R563287,R123556
R337103,R316168
R931940,R180546
R181053,R879806
R278727,R884657
R802245,R592608
R208273,R199040
R621965,R461540
R815288,R121395
R806326,R944441
R429384,R793799
R803630,R799756
R208822,R870948
R214660,R376023
R103019,R662429
R483096,R224991
R835684,R266669
R220417,R134972
R762689,R162912
R896595,R624612
R499805,R516527
R588525,R114673
R719354,R345689
R114838,R854509
R931675,R959367
R527368,R118585
R718090,R607006
R389067,R466270
R321613,R992533
R214190,R506026
R368634,R587381
R888361,R328568
R411733,R243329
R203895,R649258
R954588,R316390
R235178,R140046
R357754,R889172
R218572,R954145
R224751,R165203
R923701,R516244
R431083,R424929
R993032,R364521
R274687,R628558
R746538,R331148
R456403,R131068
R475379,R654285
R446167,R308622
R282562,R732012
R294729,R752901
R925678,R125372
R781151,R207444
R918360,R307331
R821277,R147174
R972751,R594944
R164911,R103445
R685458,R292107
R656202,R506622
R981066,R717304
R897218,R156709
R376722,R606487
R171774,R788619
R535653,R463506
R831759,R738996
R422580,R513521
R727135,R782264
R857338,R464638
R599917,R745697
R180148,R669774
R149082,R891838
R768065,R136116
R866904,R583910
R332055,R473819
R186397,R308528
R844703,R919562
R564229,R588020
R406083,R994461
R864689,R216856
R799048,R590660
R628228,R775306
R956405,R120722
R234115,R427601
R724630,R454332
R232596,R329512
R359560,R963361
R264822,R381403
R140954,R787842
R442189,R134697
R398240,R427491
R911588,R681635
R249132,R742097
R840160,R600399
R965658,R478549
R139422,R500117
R346512,R347159
R903476,R256485
R497377,R623947
R152497,R583804
R767589,R675693
R294728,R945236
R400499,R717581
R543441,R737362
R713275,R168740
R574671,R249503
R181989,R372382
R147434,R246019
R205359,R212686
R376161,R894562
R144262,R442712
R472132,R432474
R798486,R524218
R755624,R251596
R962141,R909659
R923995,R891703
R512351,R841760
R199929,R612208
R443144,R602562
R805030,R814086
R560291,R293434
R838816,R299216
R215552,R146537
R816289,R647602
R630465,R295807
R164570,R777375
R618813,R537151
R701823,R145318
R426306,R438320
R235900,R716608
R330215,R618272
R180894,R221217
R725671,R244184
R929242,R655823
R169325,R107822
R619953,R157396
R992576,R144000
R331277,R382824
R484115,R690180
R574167,R643173
R617147,R705690
R539202,R880513
R881733,R544801
R370811,R960656
R266664,R710263
R942846,R780292
R703455,R296344
R648248,R712987
R701239,R245039
R963006,R778031
R232609,R622572
R299634,R804257
R518586,R216407
R270216,R223056
R459088,R772631
R842690,R137493
R282034,R269219
R127223,R507038
R910556,R768296
R537217,R169480
R777679,R344006
R732138,R290602
R811910,R538644
R408236,R435646
R620319,R897722
R919812,R287218
R852132,R822675
R334804,R443423
R207108,R521890
R512337,R333582
R766976,R653139
R344784,R548418
R768776,R679404
R345520,R373208
R331746,R970709
R616147,R525547
R873194,R184022
R940655,R739540
R872956,R381097
R409772,R736158
R850443,R306638
R504620,R350711
R539538,R168482
R314378,R187981
R193010,R564927
R318892,R184192
R526121,R951208
R635305,R835346
R133376,R877599
R110901,R839521
R921610,R219144
R368834,R306536
R344042,R539389
R355009,R407134
R346787,R133515
R451861,R744732
R316092,R266606
R216745,R646175
R914173,R943548
R955460,R570738
R544890,R992920
R212407,R577615
R886408,R742355
R432408,R637626
R902185,R328538
R670924,R307582
R643383,R443639
R842271,R405699
R466999,R530786
R268397,R741582
R435939,R161138
R692008,R146521
R715168,R823298
R293387,R765535
R479241,R960566
R314633,R869107
R624599,R737404
R216152,R143736
R514956,R174947
R915865,R528464
R972139,R686641
R586894,R185791
R182149,R435913
R699590,R463717
R138535,R227267
R856220,R466373
R788269,R898273
R666554,R899071
R865890,R997120
R809219,R110359
R845508,R115855
R622225,R652583
R209990,R867368
R654264,R815878
R733784,R634933
R760548,R711614
R916316,R366792
R674588,R709061
R584045,R827536
R965239,R792615
R201726,R336661
R702980,R687871
R391088,R800200
R400558,R298966
R900629,R775990
R421911,R292676
R125399,R871903
R185956,R513037
R543622,R467862
R114090,R306494
R605253,R620443
R452388,R489046
R795761,R285474
R296057,R217245
R821863,R600004
R482244,R672292
R767050,R878271
R725580,R589098
R182377,R617510
R957709,R646591
R572088,R539952
R746915,R340808
R442784,R307578
R664545,R810727
R750718,R950261
R524651,R755472
R184559,R623822
R121948,R825998
R546223,R149669
R729713,R534416
R596682,R521455
R739460,R516286
R567316,R913847
R980246,R498281
R716326,R842653
R497226,R633655
R786200,R651551
R631688,R990006
R447050,R479377
R471044,R293540
R771523,R143043
R831780,R641347
R858970,R824605
R630941,R185058
R119105,R316464
R184061,R819895
R282056,R978137
R826581,R442684
R662854,R981789
R118030,R374509
R534895,R692738
R485370,R151447
R920855,R735816
R163093,R984437
R554998,R927344
R143150,R297457
R904329,R268321
R643422,R836435
R947295,R811512
R908746,R213197
R477708,R932973
R728858,R142274
R546974,R170029
R576044,R971780
R300882,R499520
R657133,R955006
R344261,R702086
R896198,R803154
R341494,R262077
R399877,R342526
R459706,R441472
R413338,R904298
R370645,R195238
R978430,R727400
R360254,R255921
R292144,R871336
R193559,R169411
R201009,R508440
R646861,R563237
R108498,R528821
R796107,R532576
R153859,R209251
R395043,R871120
R685289,R553266
R209592,R564849
R454261,R189723
R361574,R828328
R571958,R535637
R828690,R308902
R786097,R396846
R593532,R160167
R482758,R794656
R922240,R919332
R760237,R929499
R349460,R832767
R429018,R186109
R342573,R299022
R993413,R374079
R473015,R966280
R557521,R757224
R654964,R359178
R214964,R314873
R661532,R669679
R640070,R305938
R611089,R217009
R216086,R572622
R268307,R880050
R979698,R762162
R903198,R749906
R692725,R348896
R467288,R837419
R228434,R682087
R625316,R910173
R400482,R804493
R929996,R160964
R548871,R770509
R955809,R599404
R153660,R446812
R589879,R712972
R358132,R883029
R538210,R257963
R695323,R900955
R304043,R443078
R137181,R510880
R221421,R834697
R373756,R148145
R729242,R617163
R562880,R853340
R167057,R344581
R927430,R439741
R972949,R598090
R889903,R546699
R179368,R976735
R738896,R887629
R241048,R364652
R254005,R562493
R865370,R458278
R524763,R810341
R611271,R411046
R784054,R597209
R777955,R205396
R539973,R430747
R346708,R570597
R101331,R366819
R817397,R856771
R785418,R655724
R879730,R975452
R739108,R834992
R332563,R434286
R308701,R234967
R870899,R409351
R779044,R328977
R363311,R454640
R310882,R991247
R696325,R370322
R554917,R787343
R168053,R318927
R681263,R295110
R417681,R704773
R902093,R135702
R846296,R644162
R289809,R169790
R321299,R237520
R492737,R817398
R735536,R995357
R187850,R711081
R289945,R289268
R747233,R241468
R865905,R978705
R910228,R104532
R314571,R525961
R397746,R877103
R587382,R531995
R795722,R226810
R404954,R310307
R551863,R543586
R433152,R109917
R462857,R199446
R664971,R385831
R115716,R328817
R333831,R732489
R212150,R954030
R384872,R125649
R480222,R257628
R734363,R387286
R273369,R603076
R484963,R155266
R999957,R700329
R497535,R505629
R837284,R211273
R146382,R758897
R545393,R988995
R112910,R437185
R695627,R472954
R377303,R539566
R148054,R524135
R941838,R272234
R511485,R978355
R358494,R157981
R203760,R572275
R780335,R439958
R222466,R532818
R255754,R685559
R675928,R732962
R516074,R965031
R480778,R341935
R387642,R450235
R575913,R600892
R686186,R286701
R989019,R179814
R524880,R320635
R428726,R804097
R774401,R483306
R727169,R318485
R838387,R233613
R781550,R160535
R854700,R845185
R866928,R220863
R159269,R472939
R719861,R170514
R663171,R793391
R871476,R253432
R181710,R544619
R175575,R208435
R331863,R119461
R878054,R614354
R384725,R517085
R328821,R952876
R338819,R508526
R972364,R937107
R105296,R468294
R635880,R736440
R234493,R546557
R854577,R485356
R645586,R656122
R442381,R836048
R728283,R792204
R370856,R624568
R423811,R571839
R241355,R767939
R987145,R434313
R659927,R830710
R240297,R455359
R493140,R960226
R750732,R334296
R768746,R957087
R728093,R388629
R777536,R227339
R880336,R973254
R130873,R600350
R910391,R755281
R840255,R536473
R962882,R765205
R878617,R877147
R456696,R442167
R208540,R860177
R412752,R850189
R196438,R481477
R248073,R892536
R982815,R859404
R923252,R615809
R272184,R179021
R269723,R496211
R804381,R251977
R230588,R369386
R319630,R599564
R593164,R324549
R476304,R897354
R769035,R748387
R322984,R993141
R946593,R580494
R682957,R983894
R114048,R260356
R810069,R214794
R598387,R904137
R158546,R748974
R779224,R826351
R815338,R840212
R604482,R562608
R653115,R663178
R501851,R639333
R831751,R249363
R201344,R654956
R549775,R941566
R823231,R267666
R282691,R273877
R186789,R691469
R851127,R466986
R274611,R455266
R143539,R614283
R810788,R406053
R303755,R834549
R586556,R810018
R282180,R718542
R120041,R783997
R751418,R410774
R726820,R782633
R557798,R940033
R200218,R996320
R462342,R267465
R495442,R128805
R487921,R259451
R838310,R985028
R586173,R380960
R357675,R843412
R610848,R151244
R422891,R126023
R690188,R174816
R276917,R452345
R237636,R178652
R839420,R157752
R711873,R109629
R514426,R380521
R270461,R969915
R742868,R737777
R233499,R497235
R599579,R424680
R614522,R473390
R915534,R778449
R896729,R403348
R629655,R984296
R694051,R811959
R728189,R277387
R214193,R702550
R403072,R286787
R615312,R105458
R441583,R715443
R139155,R331602
R251092,R189545
R967650,R545003
R513368,R868751
R876193,R796893
R564757,R103386
R373704,R771537
R612928,R459470
R935888,R432336
R508628,R824319
R654636,R664517
R581436,R561992
R682301,R814373
R960909,R971635
R613724,R105309
R643314,R197777
R681085,R564087
R796251,R906579
R283104,R564499
R812241,R855431
R380082,R473437
R886577,R777216
R916683,R682042
R656966,R202512
R501856,R998241
R943766,R944364
R308809,R518746
R203005,R828737
R959845,R725774
R147604,R690684
R653301,R944988
R953631,R268365
R513347,R390470
R357690,R331420
R509348,R613929
R808828,R334715
R594834,R850260
R539015,R992359
R495306,R242747
R420506,R673275
R409546,R229028
R911364,R851598
R149585,R101984
R640537,R505939
R246269,R914193
R919168,R765322
R609567,R896641
R783989,R359486
R511047,R616954
R282502,R431151
R363852,R409393
R310964,R302687
R154970,R341979
R488469,R497455
R134773,R932961
R894003,R535832
R868413,R146632
R749988,R995140
R826783,R237602
R326500,R964882
R499117,R331594
R592160,R840509
R258303,R420127
R953254,R639582
R463927,R817299
R197331,R610716
R935459,R667936
R924068,R383060
R269939,R884405
R279572,R289850
R752654,R373794
R384461,R503157
R361856,R440997
R855536,R634992
R560501,R707413
R226587,R514135
R548901,R817797
R836554,R371846
R823892,R495296
R922760,R340716
R484607,R749232
R959291,R639758
R550497,R375834
R794009,R253138
R554766,R396990
R702670,R320899
R377223,R876265
R341138,R664871
R998145,R196529
R278867,R745459
R949507,R863541
R273418,R903703
R769065,R328384
R849561,R756637
R642912,R578917
R351450,R243908
R350282,R747784
R846297,R429477
R785110,R202710
R240558,R297303
R612005,R622032
R884084,R338351
R423805,R650814
R454981,R660521
R923187,R765153
R901144,R923998
R644738,R348422
R403053,R642017
R585229,R788574
R705606,R469922
R769543,R478979
R916260,R847404
R931979,R543838
R353819,R362058
R372216,R566012
R504843,R904009
R545380,R226477
R305774,R446220
R568661,R446739
R580347,R755804
R921591,R941929
R625221,R808457
R491656,R292013
R888119,R558755
R890072,R511600
R417422,R690711
R824817,R771905
R263731,R111564
R266907,R354715
R405742,R165084
R724457,R634461
R208339,R725261
